Product Name,Product ID,   Price (in Euro)   ,Color,Brand,SKU,Sole-Type,Sale Percentage,  Sale Price  ,Season,Size
Trainers TRUSSARDI,77A00372 B744,Ä 150.00,"Brown, 
            Colourful",Trussardi,208857109,Flat,New, product not in sale ,All year round,"40 , 41 , 42 , 43 , 44 , 45 , 46"
Trainers TRUSSARDI,77A00370 K299,Ä 150.00,Grey,Trussardi,208857086,not defined,New, product not in sale ,All year round,"40 , 41 , 42 , 43 , 44 , 45 , 46"
Trainers TRUSSARDI,77A00369 U280,Ä 140.00,Purple,Trussardi,208857079,Flat,New, product not in sale ,All year round,"40 , 41 , 42 , 43 , 44 , 45 , 46"
Trainers TRUSSARDI,77A00340 K717,Ä 119.00,Black,Trussardi,208856959,Flat,New, product not in sale ,All year round,"41 , 42 , 43 , 44"
Trainers TRUSSARDI,77A00369 K299,Ä 135.00,Black,Trussardi,208857062,Flat,New, product not in sale ,All year round,"40 , 41 , 42 , 43 , 44 , 45 , 46"
Trainers TRUSSARDI,77A00369 G705,Ä 140.00,Green,Trussardi,208857055,Flat,New, product not in sale ,All year round,"40 , 41 , 42 , 43 , 44 , 45 , 46"
Trainers TRUSSARDI,77A00369 B150,Ä 140.00,Brown,Trussardi,208857048,Flat,New, product not in sale ,All year round,"40 , 41 , 42 , 43 , 44 , 45 , 46"
Trainers TRUSSARDI,77A00281 W001,Ä 131.00,Grey,Trussardi,208856928,Flat,New, product not in sale ,All year round,"40 , 41 , 42 , 43 , 44 , 45 , 46"
Trainers TRUSSARDI,77A00367 U280,Ä 150.00,Navy Blue,Trussardi,208857024,Flat,New, product not in sale ,All year round,"40 , 41 , 42 , 43 , 44 , 45 , 46"
Trainers TRUSSARDI,77A00281 K299,Ä 131.00,Black,Trussardi,208856904,Flat,-31%,Ä 90.00,All year round,"40 , 41 , 42 , 43 , 44 , 45 , 46"
Trainers TRUSSARDI,77A00367 K299,Ä 150.00,Black,Trussardi,208857017,Flat,New, product not in sale ,All year round,"40 , 41 , 42 , 43 , 44 , 45 , 46"
Trainers TRUSSARDI,77A00281 B150,Ä 131.00,Brown,Trussardi,208856898,Flat,New, product not in sale ,All year round,"40 , 41 , 42 , 43 , 44 , 45 , 46"
Trainers TRUSSARDI,77A00343 W755,Ä 162.00,White,Trussardi,208856997,not defined,New, product not in sale ,All year round,"40 , 41 , 42 , 43 , 44 , 45 , 46"
Trainers TRUSSARDI,77A00343 W613,Ä 162.00,White,Trussardi,208856980,not defined,-22%,Ä 126.00,All year round,"40 , 41 , 42 , 43 , 44 , 45 , 46"
Trainers TRUSSARDI,77A00340 White/Red,Ä 119.00,White,Trussardi,208856973,not defined,New, product not in sale ,All year round,"40 , 41 , 42 , 43 , 44 , 45 , 46"
Trainers TRUSSARDI,77A00340 U758,Ä 119.00,Navy Blue,Trussardi,208856966,Flat,New, product not in sale ,All year round,"40 , 41 , 42 , 43 , 44 , 45 , 46"
Trekker Boots ALPINA,Diamond 2.0 634A-5K Olive,Ä 66.00,Green,Alpina,208854252,Flat,New, product not in sale ,All year round,"41 , 44 , 45"
Trekker Boots ALPINA,Diamond 634A-1K Zr,Ä 66.00,Black,Alpina,208854214,Flat,-29%,Ä 47.00,All year round,"36 , 37 , 38 , 39 , 41"
Trekker Boots ALPINA,Diamond 634A-2K Blue,Ä 66.00,Navy Blue,Alpina,208854221,Flat,New, product not in sale ,All year round,"41 , 43 , 44"
Trainers GINO ROSSI,120AM0898 Camel,Ä 79.95,Brown,Gino Rossi,5903698845623,Flat,0%, product not in sale ,All year round,"40 , 41 , 42 , 43 , 44 , 45"
Trainers JOMA,C.367 Men 2128 C367W2128 Yellow/Electric Blue,Ä 47.00,Yellow,Joma,208854412,Flat,New, product not in sale ,All year round,40
